id	fea1 fea2 ... fea84
122	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 758.7600000000008 12.0 38.0 5.6 1.0900000000000007 0.0 0.0 540.120000000001 0.0 87.9 16.23 0.7900000000000005 18.0 0.0 31.1 0.0 147.9 40.610000000000014 0.16 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.0 1076.5500000000002 4.0 0.0 3.51 1.2200000000000006 0.0 18.45 771.330000000001 0.0 144.5 12.419999999999998 0.8800000000000006 0.0 15.0 142.2 0.0 95.68 44.199999999999974 0.23 0.0 0.0 
123	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.5 0.0 0.0 0.0 0.0 0.0 0.0 24.8 0.0 0.0 1.2 0.0 0.0 0.0 28.200000000000003 0.0 0.0 2.16 0.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 0.0 
124	14.600000000000001 0.0 0.0 0.0 0.0 0.0 0.0 168.18000000000004 0.0 81.9 19.069999999999997 0.0 0.0 0.0 135.58 0.0 264.49999999999994 6.179999999999999 0.0 5.0 0.0 0.0 0.0 242.99999999999997 13.789999999999994 0.0 0.0 0.0 0.0 0.0 0.0 1.7200000000000002 0.0 0.0 0.0 738.1099999999988 8.0 63.1 18.359999999999996 0.0 0.0 0.0 594.9399999999997 8.0 133.3 14.169999999999996 0.01 0.0 0.0 0.0 0.0 503.09999999999985 53.91999999999999 0.0 0.0 0.0 9.7 0.0 0.0 2.1299999999999994 0.0 0.0 0.0 589.8999999999996 0.0 30.1 17.800000000000008 0.02 0.0 0.0 525.2499999999997 0.0 125.20000000000002 13.489999999999995 0.0 0.0 0.0 0.0 0.0 344.8000000000001 39.450000000000024 0.01 0.0 0.0 
125	0.0 0.0 0.0 0.05 0.0 0.0 0.0 127.09999999999997 0.0 0.0 2.45 0.0 0.0 0.0 83.27999999999999 0.0 23.2 5.07 0.0 0.0 0.0 0.0 0.0 33.1 1.4000000000000001 0.0 0.0 0.0 0.0 0.0 0.0 0.13999999999999999 0.0 0.0 0.0 855.940000000001 0.0 74.6 35.57000000000001 0.0 2.2 0.0 641.7000000000011 0.0 121.1 21.500000000000004 0.02 0.0 0.0 33.0 0.0 254.00000000000009 31.620000000000005 0.01 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 671.8900000000008 0.0 271.0 28.430000000000067 0.0 49.10000000000001 7.4 524.1000000000004 0.0 401.00000000000006 25.89000000000002 0.0 73.0 3.3000000000000003 67.7 0.0 328.7 39.05000000000001 0.0 7.699999999999999 0.0 
126	0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 5.8 0.14 0.02 0.0 0.0 14.3 0.0 1.5 0.06 0.0 0.0 0.0 0.0 0.0 9.0 1.3400000000000003 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.17 0.0 0.0 0.0 485.04000000000013 4.0 49.3 40.97 0.22999999999999995 0.0 0.0 337.9000000000001 22.0 81.39999999999999 16.66999999999999 0.12000000000000001 4.5 4.65 30.8 17.0 58.699999999999996 40.129999999999995 0.02 1.0 6.75 
127	0.0 0.0 0.0 0.0 0.0 0.0 0.0 49.4 0.0 0.0 0.07 0.0 0.0 0.0 0.0 0.0 11.8 0.05 0.0 0.0 0.0 0.0 0.0 0.0 0.19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
128	30.400000000000002 0.0 0.0 0.0 0.0 0.0 0.0 553.3000000000006 1.0 53.5 5.239999999999999 0.0 14.1 0.0 266.05000000000007 12.0 190.70000000000002 11.18 0.0 5.3 0.3 41.6 0.0 132.70000000000002 3.9499999999999993 0.0 0.0 0.0 39.18999999999999 0.0 0.0 0.01 0.0 0.0 0.0 947.5299999999991 0.0 79.7 19.109999999999996 0.08 4.86 0.0 683.5499999999998 1.0 156.2 5.4399999999999995 0.01 72.10000000000001 0.0 59.1 0.0 66.5 14.949999999999996 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 752.1500000000003 4.0 9.1 1.2 0.01 0.0 0.0 735.8299999999995 4.0 150.66 14.079999999999995 0.0 0.0 0.0 27.8 0.0 194.95999999999998 2.5 0.0 10.3 0.0 
129	2.3 0.0 0.0 0.15 0.0 0.0 0.0 393.48000000000025 4.0 407.70000000000005 65.94000000000007 0.01 0.0 0.0 233.3999999999999 4.0 358.29999999999995 58.31000000000007 0.01 11.0 0.0 5.5 0.0 206.10000000000002 74.57000000000008 0.01 30.0 0.0 0.7 0.0 0.0 0.0 0.0 0.0 0.0 331.39999999999986 1.0 177.8 35.03999999999999 0.060000000000000005 0.0 0.0 534.4000000000002 0.0 274.8 89.32000000000008 0.13999999999999999 0.0 0.0 6.5 0.0 104.39999999999999 49.23000000000001 0.05 0.0 0.0 0.0 0.0 0.0 0.15 0.0 0.0 0.0 283.0 0.0 144.9 37.83999999999997 0.09000000000000001 0.0 5.050000000000001 401.90000000000015 1.0 204.0 78.92 0.29000000000000004 0.0 3.9499999999999997 27.0 0.0 201.70000000000002 92.37999999999998 0.03 0.0 0.0 
130	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
131	0.0 0.0 0.0 0.0 0.0 0.0 0.0 106.88999999999997 0.0 49.6 2.54 0.0 13.5 0.0 51.800000000000004 0.0 65.9 0.65 0.05 2.8 0.0 0.0 0.0 40.199999999999996 9.629999999999999 0.0 5.12 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 88.17999999999998 0.0 24.8 2.3600000000000003 0.03 0.0 0.0 60.4 0.0 89.80000000000001 4.8999999999999995 0.01 15.44 0.0 6.2 0.0 52.199999999999996 2.71 0.02 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 358.05000000000007 0.0 79.8 8.04 0.08 16.400000000000002 4.65 430.04 0.0 191.6 11.87 0.11999999999999998 39.5 5.4 8.6 0.0 250.1 10.629999999999999 0.10999999999999999 7.800000000000001 0.0 
132	18.900000000000002 0.0 0.0 0.11000000000000001 0.0 0.0 0.0 943.6299999999998 12.0 277.29999999999995 26.159999999999997 0.7200000000000004 18.3 0.6 531.66 16.0 121.9 59.910000000000025 1.2300000000000006 91.80000000000001 0.0 10.0 0.0 81.2 160.63000000000005 0.33000000000000007 4.800000000000001 0.0 6.0 0.0 0.0 3.2500000000000004 0.0 0.0 0.0 1003.9 8.0 66.0 16.119999999999994 1.7600000000000011 10.8 0.0 515.4 0.0 92.4 28.14 0.8700000000000006 24.4 0.0 50.7 1.0 42.699999999999996 227.3899999999993 0.33000000000000007 5.5 0.0 9.2 0.0 0.0 8.15 0.07 0.0 0.0 976.4200000000004 6.0 58.099999999999994 66.26000000000005 2.459999999999998 7.2 0.15 733.9200000000003 7.0 52.099999999999994 70.50000000000007 1.290000000000001 21.0 10.75 61.8 0.0 79.7 116.65000000000045 0.8000000000000005 2.0 0.0 
133	4.3 0.0 0.0 0.15 0.0 0.0 0.0 28.290000000000006 0.0 36.4 0.14 0.0 0.0 0.0 9.0 0.0 4.0 4.1 0.0 0.0 0.0 0.0 0.0 6.8 0.38 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.63 0.0 0.0 0.0 0.0 0.0 0.0 843.28 18.0 29.7 52.49 0.29000000000000004 40.4 0.0 292.7 28.0 89.7 16.63 0.19 12.6 0.0 10.8 4.0 48.4 46.300000000000004 0.02 0.0 0.0 
134	29.529999999999998 0.0 0.0 0.02 0.0 0.0 0.0 1058.1200000000003 20.0 91.0 5.139999999999998 0.1 96.7 0.0 876.6800000000007 12.0 113.3 13.309999999999997 0.04 122.10000000000001 0.0 36.5 0.0 204.0 104.32000000000009 0.03 3.4000000000000004 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 1119.2999999999997 4.0 113.7 1.07 0.4500000000000002 8.5 0.15 817.5000000000001 4.0 189.99999999999997 13.679999999999998 0.4300000000000002 6.5 1.35 26.4 0.0 220.90000000000003 218.2999999999996 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1093.3000000000006 16.0 208.5 14.079999999999998 0.2700000000000001 4.3 2.85 865.3200000000004 0.0 296.7 58.100000000000016 0.11999999999999998 40.400000000000006 3.0 72.1 0.0 225.79999999999998 183.67999999999978 0.01 3.5 0.0 
135	0.0 0.0 0.0 0.0 0.0 0.0 0.0 852.9400000000003 23.0 162.99999999999997 20.100000000000005 0.7200000000000004 8.1 5.4 777.0000000000003 72.0 217.0 35.370000000000026 0.2800000000000001 0.0 0.6 52.9 0.0 94.0 46.35999999999999 0.2800000000000001 0.0 0.0 0.0 0.0 0.0 0.9 0.0 0.0 0.0 1405.7699999999993 12.0 88.6 16.509999999999998 0.7800000000000005 19.5 6.75 1005.6600000000001 80.0 312.7 23.080000000000002 0.10999999999999999 45.3 0.0 17.1 1.0 268.9 116.92999999999994 0.04 13.600000000000001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1101.8799999999997 36.0 68.6 13.889999999999997 0.8600000000000005 42.50000000000001 23.0 979.55 52.0 103.3 48.20000000000002 0.45000000000000023 21.3 26.15 37.4 0.0 182.9 75.78999999999998 0.47000000000000025 0.0 0.0 
136	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 319.65000000000003 6.0 8.100000000000001 0.02 0.02 0.0 0.0 204.59999999999994 7.0 24.4 5.3 0.0 7.9 0.0 14.3 3.0 77.8 7.329999999999999 0.0 0.0 1.05 
137	8.7 0.0 0.0 4.989999999999999 0.0 0.0 0.0 561.6099999999998 0.0 162.0 9.120000000000001 0.23000000000000004 0.0 0.0 437.1999999999999 4.0 242.70000000000002 34.43 0.20000000000000004 19.0 0.2 57.5 0.0 396.9999999999999 42.440000000000026 0.060000000000000005 10.0 0.0 0.0 0.0 0.0 0.6100000000000001 0.0 0.0 0.0 713.3999999999991 0.0 48.199999999999996 12.77 0.26000000000000006 5.7 0.0 533.73 0.0 177.7 20.289999999999996 0.12999999999999998 40.00000000000001 0.0 78.6 1.0 123.8 55.99000000000002 0.02 7.300000000000001 0.0 0.0 0.0 0.0 2.13 0.0 0.0 0.0 850.8999999999993 3.0 70.4 38.03000000000001 0.7500000000000004 0.0 1.35 583.7900000000001 0.0 53.6 48.330000000000005 0.5800000000000002 62.5 11.1 92.89999999999999 0.0 80.5 60.16 0.25000000000000006 4.0 0.0 
138	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6 0.0 0.0 0.0 563.1999999999998 0.0 9.0 0.0 0.0 0.0 0.0 485.2999999999998 0.0 99.8 8.0 0.03 0.0 0.0 185.7 0.0 48.7 27.5 0.0 0.0 0.0 0.0 0.0 0.0 6.4 0.0 0.0 0.0 1124.6500000000003 1.0 42.900000000000006 2.5 0.15000000000000002 0.0 0.0 693.31 9.0 285.9 25.299999999999997 0.04 3.5 1.8 192.99999999999997 5.0 216.00000000000006 44.00000000000001 0.15000000000000002 0.0 0.0 
139	15.530000000000001 0.0 0.0 0.0 0.0 0.0 0.0 758.4400000000011 0.0 155.9 5.210000000000001 0.060000000000000005 0.0 0.0 574.7700000000011 0.0 230.0 7.21 0.03 0.0 0.0 0.0 0.0 317.2 17.099999999999998 0.01 0.0 0.0 6.2 0.0 0.0 1.23 0.0 0.0 0.0 860.2500000000009 8.0 28.0 3.9000000000000004 0.08 0.0 0.0 594.36 2.0 126.4 5.699999999999999 0.060000000000000005 4.0 24.15 60.2 1.0 386.21 20.549999999999994 0.02 0.0 0.0 0.0 0.0 0.0 2.08 0.0 0.0 0.0 851.6300000000012 0.0 63.9 8.61 0.03 11.3 4.5 696.700000000001 2.0 203.39999999999998 5.4 0.04 22.4 8.0 35.7 1.0 401.40000000000003 27.32 0.01 0.0 0.0 
140	14.0 0.0 0.0 0.0 0.0 0.0 0.0 929.4699999999998 4.0 108.30000000000001 15.97 0.01 10.0 1.65 514.6 2.0 324.6 24.56 0.0 10.0 0.0 46.8 0.0 82.8 51.260000000000026 0.01 0.0 0.0 0.0 0.0 0.0 0.8 0.0 0.0 0.0 876.6199999999998 4.0 105.80000000000001 16.169999999999998 0.0 8.0 0.0 495.20000000000016 0.0 186.20000000000002 11.229999999999999 0.0 15.7 0.0 26.5 0.0 43.2 47.52000000000002 0.01 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 945.7999999999989 4.0 336.50000000000006 27.7 0.0 18.4 0.0 700.8000000000004 4.0 121.20000000000002 18.139999999999997 0.0 67.5 0.0 32.2 0.0 8.0 59.06000000000002 0.01 22.0 0.0 
141	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
142	0.0 0.0 0.0 0.56 0.0 0.0 0.0 50.800000000000004 0.0 33.8 0.43000000000000005 0.07 3.9 0.0 19.3 0.0 5.2 0.24000000000000002 0.07 3.0 0.0 0.0 0.0 12.6 1.01 0.03 0.0 0.0 0.0 0.0 0.0 0.45999999999999996 0.0 0.0 0.0 19.13 4.0 0.0 0.14 0.05 0.0 0.0 0.0 0.0 8.5 0.0 0.04 0.0 0.0 0.0 0.0 30.8 1.65 0.03 0.0 0.0 0.0 0.0 0.0 2.46 0.0 0.0 0.0 426.5899999999999 12.0 16.5 53.24999999999995 0.4000000000000002 28.0 0.0 129.86 6.0 17.4 28.330000000000016 0.21000000000000002 33.800000000000004 0.0 43.1 3.0 29.8 22.950000000000017 0.02 5.5 0.0 
143	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.23 0.0 0.0 0.0 0.0 2.7 0.0 8.0 0.0 0.0 0.0 0.0 22.0 0.0 0.0 0.0 13.5 2.0 0.0 18.4 0.0 
144	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 458.0199999999995 0.0 9.3 10.079999999999998 0.23000000000000007 1.4 0.0 188.08999999999995 0.0 14.600000000000001 2.0700000000000003 0.04 22.9 0.0 4.5 0.0 19.700000000000003 48.450000000000024 0.03 0.0 0.0 0.0 0.0 0.0 0.11 0.0 0.0 0.0 635.4999999999997 4.0 62.4 8.909999999999993 0.3300000000000002 4.8 3.1500000000000004 358.1299999999999 0.0 0.0 28.650000000000006 0.13999999999999999 25.1 3.75 23.0 0.0 43.199999999999996 82.78999999999996 0.07 8.8 0.0 
145	0.0 0.0 0.0 0.0 0.0 0.0 0.0 18.5 0.0 0.0 0.0 0.0 0.0 0.0 6.25 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.3 0.0 0.0 0.30000000000000004 0.01 0.0 0.0 288.1499999999999 6.0 16.0 0.0 0.18 0.0 0.0 183.7799999999999 0.0 11.2 0.0 0.13 0.0 0.0 0.0 0.0 0.0 3.0 0.03 0.0 0.0 
146	24.700000000000003 0.0 0.0 0.22999999999999998 0.0 0.0 0.0 612.8099999999997 12.0 135.9 10.499999999999996 0.0 37.2 0.3 381.5999999999998 9.0 77.3 14.35 0.02 13.6 0.0 1.0 4.0 36.7 32.51999999999998 0.02 0.0 0.0 0.0 0.0 0.0 0.06 0.0 0.0 0.0 734.2499999999994 4.0 29.199999999999996 27.099999999999994 0.26000000000000006 9.0 0.0 404.14999999999986 0.0 21.7 51.53000000000001 0.21000000000000002 5.4 0.0 0.0 0.0 34.1 48.82999999999999 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 727.6699999999998 0.0 31.299999999999997 67.62000000000002 0.22000000000000003 4.0 2.7 479.6599999999999 1.0 8.0 64.84000000000002 0.05 9.42 7.2 28.6 1.0 19.6 48.999999999999986 0.0 1.2 0.0 
147	0.0 0.0 0.0 0.0 0.0 0.0 0.0 37.8 0.0 0.0 2.5399999999999996 0.04 0.0 0.0 31.000000000000004 0.0 15.9 0.15 0.01 0.0 0.0 0.0 0.0 18.8 2.16 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
148	0.0 0.0 0.0 0.0 0.0 0.0 0.0 283.83 0.0 37.3 7.5699999999999985 0.0 3.4 6.55 113.39999999999998 4.0 23.5 15.02 0.01 0.0 0.0 0.0 0.0 106.3 7.599999999999999 0.0 0.0 0.0 6.4 0.0 0.0 5.2299999999999995 0.0 0.0 0.0 1017.730000000001 0.0 142.7 27.85000000000001 0.03 0.0 0.0 640.3100000000005 2.0 64.8 8.95 0.03 9.2 20.6 24.5 1.0 36.0 32.75 0.02 12.1 0.0 2.43 0.0 0.0 0.0 0.0 0.0 0.0 744.2300000000007 18.0 108.0 4.859999999999999 0.01 0.0 25.0 565.9500000000005 4.0 97.89999999999999 5.230000000000001 0.12000000000000001 5.5 0.3 50.5 4.0 62.7 0.0 0.0 0.0 0.0 
149	0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.93 0.0 5.0 0.0 0.02 0.0 0.0 16.6 0.0 0.0 0.72 0.0 0.0 3.6 8.2 0.0 0.0 0.71 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.12 0.0 3.8 0.0 0.0 6.9 0.0 64.7 0.0 13.8 3.5500000000000003 0.02 9.399999999999999 0.0 13.2 0.0 0.0 0.9400000000000002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.700000000000001 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.8 0.0 0.0 0.0 14.68 1.2 0.0 2.8 0.0 
150	4.6 0.0 0.0 0.03 0.0 0.0 0.0 601.8700000000008 4.0 32.400000000000006 17.470000000000013 0.01 10.0 0.8 433.2000000000005 0.0 106.2 29.580000000000005 0.0 0.0 0.0 24.23 0.0 41.400000000000006 52.31999999999997 0.0 0.0 0.0 2.4 0.0 0.0 0.01 0.0 0.0 0.0 713.8400000000008 0.0 56.300000000000004 12.159999999999998 0.0 3.4000000000000004 0.0 545.1700000000008 0.0 48.9 54.11000000000005 0.01 6.2 0.0 38.5 0.0 77.9 132.52000000000018 0.0 0.0 0.0 43.67999999999999 0.0 0.0 0.01 0.0 0.0 0.0 738.3500000000008 8.0 40.1 27.75999999999999 0.060000000000000005 0.0 0.0 610.0700000000007 0.0 53.6 51.51000000000003 0.060000000000000005 0.0 0.0 6.0 0.0 30.5 70.74000000000004 0.04 0.0 0.0 
151	0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.3 0.0 0.0 0.0 0.0 12.42 0.0 18.7 0.0 12.4 0.47000000000000003 0.03 0.0 0.0 0.0 0.0 0.0 0.26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
152	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 720.8300000000005 0.0 29.1 9.36 0.19 0.0 1.55 595.0400000000003 0.0 64.4 9.12 0.11999999999999998 15.5 10.95 8.8 0.0 236.10000000000002 28.52 0.07 6.4 0.0 
153	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.5999999999999996 0.0 0.0 0.0 24.400000000000002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 200.77999999999994 0.0 11.0 12.6 0.0 0.0 0.0 269.87999999999994 0.0 83.69999999999999 7.42 0.0 0.0 0.0 0.0 0.0 3.5 0.0 0.0 0.0 0.0 
154	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 527.8000000000001 0.0 272.2 1.44 0.03 0.0 0.0 772.6600000000001 5.0 523.6999999999999 2.3799999999999994 0.0 0.0 0.0 55.9 0.0 215.20000000000002 9.44 0.0 0.0 0.0 
155	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.200000000000001 0.0 0.0 2.4099999999999997 0.0 0.0 0.0 11.600000000000001 0.0 0.0 3.7 0.0 0.0 0.0 0.0 0.0 0.0 0.15 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.9 0.0 16.1 1.7 0.02 0.0 0.0 36.0 0.0 0.0 1.5 0.03 0.0 0.0 5.0 0.0 9.0 1.54 0.0 0.0 0.0 
156	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6 0.0 0.0 0.0 30.53 1.0 0.0 0.02 0.01 3.6 0.0 50.099999999999994 0.0 9.0 0.02 0.01 0.0 0.0 35.2 0.0 24.0 7.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28.7 0.0 0.0 1.1 0.04 0.0 0.0 12.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 25.8 3.0999999999999996 0.0 0.0 0.0 
157	4.2 0.0 0.0 0.0 0.0 0.0 0.0 613.2699999999999 4.0 84.89999999999999 9.02 0.0 27.3 0.3 353.4600000000001 0.0 207.9 3.6599999999999993 0.0 30.0 0.0 56.5 0.0 385.00000000000006 19.349999999999994 0.0 0.0 0.0 0.0 0.0 0.0 0.61 0.0 0.0 0.0 764.8100000000001 0.0 36.6 6.52 0.18 0.0 0.0 426.4 0.0 49.1 10.52 0.03 0.0 0.0 328.3 0.0 766.9 45.98000000000001 0.04 2.3 0.0 0.0 0.0 0.0 2.8400000000000003 0.0 0.0 0.0 520.7900000000003 0.0 41.1 4.91 0.06 0.0 0.6 589.86 0.0 139.4 23.41999999999999 0.0 0.0 0.0 171.90000000000003 0.0 627.1999999999999 45.72000000000002 0.0 0.0 0.0 
